Cnd 23030 ==> LE2 | Aria T'Loak | Friendship(3030) < [[Argument]]
Cnd 23139 ==> LE2 | Armando-Owen Bailey | Romantic Interest(3139) < [[Argument]]
Cnd 23140 ==> LE2 | Armando-Owen Bailey | Romantic Interest(3140) == [[Argument]]
Cnd 23141 ==> LE2 | Armando-Owen Bailey | Romantic Interest(3141) > [[Argument]]
Cnd 23142 ==> LE2 | Armando-Owen Bailey | Sexual Interest(3142) < [[Argument]]
Cnd 23143 ==> LE2 | Armando-Owen Bailey | Sexual Interest(3143) == [[Argument]]
Cnd 23144 ==> LE2 | Armando-Owen Bailey | Sexual Interest(3144) > [[Argument]]
Cnd 23230 ==> LE2 | Ashley Williams | Friendship(3230) < [[Argument]]
Cnd 23231 ==> LE2 | Ashley Williams | Friendship(3231) == [[Argument]]
Cnd 23232 ==> LE2 | Ashley Williams | Friendship(3232) > [[Argument]]
Cnd 23233 ==> LE2 | Ashley Williams | Loyalty(3233) < [[Argument]]
Cnd 23234 ==> LE2 | Ashley Williams | Loyalty(3234) == [[Argument]]
Cnd 23235 ==> LE2 | Ashley Williams | Loyalty(3235) > [[Argument]]
Cnd 23236 ==> LE2 | Ashley Williams | Rivalry(3236) < [[Argument]]
Cnd 23237 ==> LE2 | Ashley Williams | Rivalry(3237) == [[Argument]]
Cnd 23238 ==> LE2 | Ashley Williams | Rivalry(3238) > [[Argument]]
Cnd 23239 ==> LE2 | Ashley Williams | Romantic Interest(3239) < [[Argument]]
Cnd 23240 ==> LE2 | Ashley Williams | Romantic Interest(3240) == [[Argument]]
Cnd 23241 ==> LE2 | Ashley Williams | Romantic Interest(3241) > [[Argument]]
Cnd 23242 ==> LE2 | Ashley Williams | Sexual Interest(3242) < [[Argument]]
Cnd 23243 ==> LE2 | Ashley Williams | Sexual Interest(3243) == [[Argument]]
Cnd 23244 ==> LE2 | Ashley Williams | Sexual Interest(3244) > [[Argument]]
Cnd 23330 ==> LE2 | David Anderson | Friendship(3330) < [[Argument]]
Cnd 23331 ==> LE2 | David Anderson | Friendship(3331) == [[Argument]]
Cnd 23332 ==> LE2 | David Anderson | Friendship(3332) > [[Argument]]
Cnd 23333 ==> LE2 | David Anderson | Loyalty(3333) < [[Argument]]
Cnd 23334 ==> LE2 | David Anderson | Loyalty(3334) == [[Argument]]
Cnd 23335 ==> LE2 | David Anderson | Loyalty(3335) > [[Argument]]
Cnd 23336 ==> LE2 | David Anderson | Rivalry(3336) < [[Argument]]
Cnd 23337 ==> LE2 | David Anderson | Rivalry(3337) == [[Argument]]
Cnd 23338 ==> LE2 | David Anderson | Rivalry(3338) > [[Argument]]
Cnd 23339 ==> LE2 | David Anderson | Romantic Interest(3339) < [[Argument]]
Cnd 23340 ==> LE2 | David Anderson | Romantic Interest(3340) == [[Argument]]
Cnd 23341 ==> LE2 | David Anderson | Romantic Interest(3341) > [[Argument]]
Cnd 23342 ==> LE2 | David Anderson | Sexual Interest(3342) < [[Argument]]
Cnd 23343 ==> LE2 | David Anderson | Sexual Interest(3343) == [[Argument]]
Cnd 23344 ==> LE2 | David Anderson | Sexual Interest(3344) > [[Argument]]
Cnd 23430 ==> LE2 | Diana Allers | Friendship(3430) < [[Argument]]
Cnd 23431 ==> LE2 | Diana Allers | Friendship(3431) == [[Argument]]
Cnd 23432 ==> LE2 | Diana Allers | Friendship(3432) > [[Argument]]
Cnd 23433 ==> LE2 | Diana Allers | Loyalty(3433) < [[Argument]]
Cnd 23434 ==> LE2 | Diana Allers | Loyalty(3434) == [[Argument]]
Cnd 23435 ==> LE2 | Diana Allers | Loyalty(3435) > [[Argument]]
Cnd 23436 ==> LE2 | Diana Allers | Rivalry(3436) < [[Argument]]
Cnd 23437 ==> LE2 | Diana Allers | Rivalry(3437) == [[Argument]]
Cnd 23438 ==> LE2 | Diana Allers | Rivalry(3438) > [[Argument]]
Cnd 23439 ==> LE2 | Diana Allers | Romantic Interest(3439) < [[Argument]]
Cnd 23440 ==> LE2 | Diana Allers | Romantic Interest(3440) == [[Argument]]
Cnd 23441 ==> LE2 | Diana Allers | Romantic Interest(3441) > [[Argument]]
Cnd 23442 ==> LE2 | Diana Allers | Sexual Interest(3442) < [[Argument]]
Cnd 23443 ==> LE2 | Diana Allers | Sexual Interest(3443) == [[Argument]]
Cnd 23444 ==> LE2 | Diana Allers | Sexual Interest(3444) > [[Argument]]
Cnd 23530 ==> LE2 | Donnel Udina | Friendship(3530) < [[Argument]]
Cnd 23531 ==> LE2 | Donnel Udina | Friendship(3531) == [[Argument]]
Cnd 23532 ==> LE2 | Donnel Udina | Friendship(3532) > [[Argument]]
Cnd 23533 ==> LE2 | Donnel Udina | Loyalty(3533) < [[Argument]]
Cnd 23534 ==> LE2 | Donnel Udina | Loyalty(3534) == [[Argument]]
Cnd 23535 ==> LE2 | Donnel Udina | Loyalty(3535) > [[Argument]]
Cnd 23536 ==> LE2 | Donnel Udina | Rivalry(3536) < [[Argument]]
Cnd 23537 ==> LE2 | Donnel Udina | Rivalry(3537) == [[Argument]]
Cnd 23538 ==> LE2 | Donnel Udina | Rivalry(3538) > [[Argument]]
Cnd 23539 ==> LE2 | Donnel Udina | Romantic Interest(3539) < [[Argument]]
Cnd 23540 ==> LE2 | Donnel Udina | Romantic Interest(3540) == [[Argument]]
Cnd 23541 ==> LE2 | Donnel Udina | Romantic Interest(3541) > [[Argument]]
Cnd 23542 ==> LE2 | Donnel Udina | Sexual Interest(3542) < [[Argument]]
Cnd 23543 ==> LE2 | Donnel Udina | Sexual Interest(3543) == [[Argument]]
Cnd 23544 ==> LE2 | Donnel Udina | Sexual Interest(3544) > [[Argument]]
Cnd 23630 ==> LE2 | EDI | Friendship(3630) < [[Argument]]
Cnd 23631 ==> LE2 | EDI | Friendship(3631) == [[Argument]]
Cnd 23632 ==> LE2 | EDI | Friendship(3632) > [[Argument]]
Cnd 23633 ==> LE2 | EDI | Loyalty(3633) < [[Argument]]
Cnd 23634 ==> LE2 | EDI | Loyalty(3634) == [[Argument]]
Cnd 23635 ==> LE2 | EDI | Loyalty(3635) > [[Argument]]
Cnd 23636 ==> LE2 | EDI | Rivalry(3636) < [[Argument]]
Cnd 23637 ==> LE2 | EDI | Rivalry(3637) == [[Argument]]
Cnd 23638 ==> LE2 | EDI | Rivalry(3638) > [[Argument]]
Cnd 23639 ==> LE2 | EDI | Romantic Interest(3639) < [[Argument]]
Cnd 23640 ==> LE2 | EDI | Romantic Interest(3640) == [[Argument]]
Cnd 23641 ==> LE2 | EDI | Romantic Interest(3641) > [[Argument]]
Cnd 23642 ==> LE2 | EDI | Sexual Interest(3642) < [[Argument]]
Cnd 23643 ==> LE2 | EDI | Sexual Interest(3643) == [[Argument]]
Cnd 23644 ==> LE2 | EDI | Sexual Interest(3644) > [[Argument]]
Cnd 23730 ==> LE2 | Emily Wong | Friendship(3730) < [[Argument]]
Cnd 23731 ==> LE2 | Emily Wong | Friendship(3731) == [[Argument]]
Cnd 23732 ==> LE2 | Emily Wong | Friendship(3732) > [[Argument]]
Cnd 23733 ==> LE2 | Emily Wong | Loyalty(3733) < [[Argument]]
Cnd 23734 ==> LE2 | Emily Wong | Loyalty(3734) == [[Argument]]
Cnd 23735 ==> LE2 | Emily Wong | Loyalty(3735) > [[Argument]]
Cnd 23736 ==> LE2 | Emily Wong | Rivalry(3736) < [[Argument]]
Cnd 23737 ==> LE2 | Emily Wong | Rivalry(3737) == [[Argument]]
Cnd 23738 ==> LE2 | Emily Wong | Rivalry(3738) > [[Argument]]
Cnd 23739 ==> LE2 | Emily Wong | Romantic Interest(3739) < [[Argument]]
Cnd 23740 ==> LE2 | Emily Wong | Romantic Interest(3740) == [[Argument]]
Cnd 23741 ==> LE2 | Emily Wong | Romantic Interest(3741) > [[Argument]]
Cnd 23742 ==> LE2 | Emily Wong | Sexual Interest(3742) < [[Argument]]
Cnd 23743 ==> LE2 | Emily Wong | Sexual Interest(3743) == [[Argument]]
Cnd 23744 ==> LE2 | Emily Wong | Sexual Interest(3744) > [[Argument]]
Cnd 23830 ==> LE2 | Eve Urdnot Bakara | Friendship(3830) < [[Argument]]
Cnd 23831 ==> LE2 | Eve Urdnot Bakara | Friendship(3831) == [[Argument]]
Cnd 23832 ==> LE2 | Eve Urdnot Bakara | Friendship(3832) > [[Argument]]
Cnd 23833 ==> LE2 | Eve Urdnot Bakara | Loyalty(3833) < [[Argument]]
Cnd 23834 ==> LE2 | Eve Urdnot Bakara | Loyalty(3834) == [[Argument]]
Cnd 23835 ==> LE2 | Eve Urdnot Bakara | Loyalty(3835) > [[Argument]]
Cnd 23836 ==> LE2 | Eve Urdnot Bakara | Rivalry(3836) < [[Argument]]
Cnd 23837 ==> LE2 | Eve Urdnot Bakara | Rivalry(3837) == [[Argument]]
Cnd 23838 ==> LE2 | Eve Urdnot Bakara | Rivalry(3838) > [[Argument]]
Cnd 23839 ==> LE2 | Eve Urdnot Bakara | Romantic Interest(3839) < [[Argument]]
Cnd 23840 ==> LE2 | Eve Urdnot Bakara | Romantic Interest(3840) == [[Argument]]
Cnd 23841 ==> LE2 | Eve Urdnot Bakara | Romantic Interest(3841) > [[Argument]]
Cnd 23842 ==> LE2 | Eve Urdnot Bakara | Sexual Interest(3842) < [[Argument]]
Cnd 23843 ==> LE2 | Eve Urdnot Bakara | Sexual Interest(3843) == [[Argument]]
Cnd 23844 ==> LE2 | Eve Urdnot Bakara | Sexual Interest(3844) > [[Argument]]
Cnd 23930 ==> LE2 | Gabriella Daniels | Friendship(3930) < [[Argument]]
Cnd 23931 ==> LE2 | Gabriella Daniels | Friendship(3931) == [[Argument]]
Cnd 23932 ==> LE2 | Gabriella Daniels | Friendship(3932) > [[Argument]]
Cnd 23933 ==> LE2 | Gabriella Daniels | Loyalty(3933) < [[Argument]]
Cnd 23934 ==> LE2 | Gabriella Daniels | Loyalty(3934) == [[Argument]]
Cnd 23935 ==> LE2 | Gabriella Daniels | Loyalty(3935) > [[Argument]]
Cnd 23936 ==> LE2 | Gabriella Daniels | Rivalry(3936) < [[Argument]]
Cnd 23937 ==> LE2 | Gabriella Daniels | Rivalry(3937) == [[Argument]]
Cnd 23938 ==> LE2 | Gabriella Daniels | Rivalry(3938) > [[Argument]]
Cnd 23939 ==> LE2 | Gabriella Daniels | Romantic Interest(3939) < [[Argument]]
Cnd 23940 ==> LE2 | Gabriella Daniels | Romantic Interest(3940) == [[Argument]]
Cnd 23941 ==> LE2 | Gabriella Daniels | Romantic Interest(3941) > [[Argument]]
Cnd 23942 ==> LE2 | Gabriella Daniels | Sexual Interest(3942) < [[Argument]]
Cnd 23943 ==> LE2 | Gabriella Daniels | Sexual Interest(3943) == [[Argument]]
Cnd 23944 ==> LE2 | Gabriella Daniels | Sexual Interest(3944) > [[Argument]]
Cnd 24030 ==> LE2 | Garrus Vakarian | Friendship(4030) < [[Argument]]
Cnd 24031 ==> LE2 | Garrus Vakarian | Friendship(4031) == [[Argument]]
Cnd 24032 ==> LE2 | Garrus Vakarian | Friendship(4032) > [[Argument]]
Cnd 24033 ==> LE2 | Garrus Vakarian | Loyalty(4033) < [[Argument]]
Cnd 24034 ==> LE2 | Garrus Vakarian | Loyalty(4034) == [[Argument]]
Cnd 24035 ==> LE2 | Garrus Vakarian | Loyalty(4035) > [[Argument]]
Cnd 24036 ==> LE2 | Garrus Vakarian | Rivalry(4036) < [[Argument]]
Cnd 24037 ==> LE2 | Garrus Vakarian | Rivalry(4037) == [[Argument]]
Cnd 24038 ==> LE2 | Garrus Vakarian | Rivalry(4038) > [[Argument]]
Cnd 24039 ==> LE2 | Garrus Vakarian | Romantic Interest(4039) < [[Argument]]
Cnd 24040 ==> LE2 | Garrus Vakarian | Romantic Interest(4040) == [[Argument]]
Cnd 24041 ==> LE2 | Garrus Vakarian | Romantic Interest(4041) > [[Argument]]
Cnd 24042 ==> LE2 | Garrus Vakarian | Sexual Interest(4042) < [[Argument]]
Cnd 24043 ==> LE2 | Garrus Vakarian | Sexual Interest(4043) == [[Argument]]
Cnd 24044 ==> LE2 | Garrus Vakarian | Sexual Interest(4044) > [[Argument]]
Cnd 24130 ==> LE2 | Gianni Parasini | Friendship(4130) < [[Argument]]
Cnd 24131 ==> LE2 | Gianni Parasini | Friendship(4131) == [[Argument]]
Cnd 24132 ==> LE2 | Gianni Parasini | Friendship(4132) > [[Argument]]
Cnd 24133 ==> LE2 | Gianni Parasini | Loyalty(4133) < [[Argument]]
Cnd 24134 ==> LE2 | Gianni Parasini | Loyalty(4134) == [[Argument]]
Cnd 24135 ==> LE2 | Gianni Parasini | Loyalty(4135) > [[Argument]]
Cnd 24136 ==> LE2 | Gianni Parasini | Rivalry(4136) < [[Argument]]
Cnd 24137 ==> LE2 | Gianni Parasini | Rivalry(4137) == [[Argument]]
Cnd 24138 ==> LE2 | Gianni Parasini | Rivalry(4138) > [[Argument]]
Cnd 24139 ==> LE2 | Gianni Parasini | Romantic Interest(4139) < [[Argument]]
Cnd 24140 ==> LE2 | Gianni Parasini | Romantic Interest(4140) == [[Argument]]
Cnd 24141 ==> LE2 | Gianni Parasini | Romantic Interest(4141) > [[Argument]]
Cnd 24142 ==> LE2 | Gianni Parasini | Sexual Interest(4142) < [[Argument]]
Cnd 24143 ==> LE2 | Gianni Parasini | Sexual Interest(4143) == [[Argument]]
Cnd 24144 ==> LE2 | Gianni Parasini | Sexual Interest(4144) > [[Argument]]
Cnd 24230 ==> LE2 | Gregory Adams | Friendship(4230) < [[Argument]]
Cnd 24231 ==> LE2 | Gregory Adams | Friendship(4231) == [[Argument]]
Cnd 24232 ==> LE2 | Gregory Adams | Friendship(4232) > [[Argument]]
Cnd 24233 ==> LE2 | Gregory Adams | Loyalty(4233) < [[Argument]]
Cnd 24234 ==> LE2 | Gregory Adams | Loyalty(4234) == [[Argument]]
Cnd 24235 ==> LE2 | Gregory Adams | Loyalty(4235) > [[Argument]]
Cnd 24236 ==> LE2 | Gregory Adams | Rivalry(4236) < [[Argument]]
Cnd 24237 ==> LE2 | Gregory Adams | Rivalry(4237) == [[Argument]]
Cnd 24238 ==> LE2 | Gregory Adams | Rivalry(4238) > [[Argument]]
Cnd 24239 ==> LE2 | Gregory Adams | Romantic Interest(4239) < [[Argument]]
Cnd 24240 ==> LE2 | Gregory Adams | Romantic Interest(4240) == [[Argument]]
Cnd 24241 ==> LE2 | Gregory Adams | Romantic Interest(4241) > [[Argument]]
Cnd 24242 ==> LE2 | Gregory Adams | Sexual Interest(4242) < [[Argument]]
Cnd 24243 ==> LE2 | Gregory Adams | Sexual Interest(4243) == [[Argument]]
Cnd 24244 ==> LE2 | Gregory Adams | Sexual Interest(4244) > [[Argument]]
Cnd 24330 ==> LE2 | Grunt | Friendship(4330) < [[Argument]]
Cnd 24331 ==> LE2 | Grunt | Friendship(4331) == [[Argument]]
Cnd 24332 ==> LE2 | Grunt | Friendship(4332) > [[Argument]]
Cnd 24333 ==> LE2 | Grunt | Loyalty(4333) < [[Argument]]
Cnd 24334 ==> LE2 | Grunt | Loyalty(4334) == [[Argument]]
Cnd 24335 ==> LE2 | Grunt | Loyalty(4335) > [[Argument]]
Cnd 24336 ==> LE2 | Grunt | Rivalry(4336) < [[Argument]]
Cnd 24337 ==> LE2 | Grunt | Rivalry(4337) == [[Argument]]
Cnd 24338 ==> LE2 | Grunt | Rivalry(4338) > [[Argument]]
Cnd 24339 ==> LE2 | Grunt | Romantic Interest(4339) < [[Argument]]
Cnd 24340 ==> LE2 | Grunt | Romantic Interest(4340) == [[Argument]]
Cnd 24341 ==> LE2 | Grunt | Romantic Interest(4341) > [[Argument]]
Cnd 24342 ==> LE2 | Grunt | Sexual Interest(4342) < [[Argument]]
Cnd 24343 ==> LE2 | Grunt | Sexual Interest(4343) == [[Argument]]
Cnd 24344 ==> LE2 | Grunt | Sexual Interest(4344) > [[Argument]]
Cnd 24430 ==> LE2 | Illusive Man | Friendship(4430) < [[Argument]]
Cnd 24431 ==> LE2 | Illusive Man | Friendship(4431) == [[Argument]]
Cnd 24432 ==> LE2 | Illusive Man | Friendship(4432) > [[Argument]]
Cnd 24433 ==> LE2 | Illusive Man | Loyalty(4433) < [[Argument]]
Cnd 24434 ==> LE2 | Illusive Man | Loyalty(4434) == [[Argument]]
Cnd 24435 ==> LE2 | Illusive Man | Loyalty(4435) > [[Argument]]
Cnd 24436 ==> LE2 | Illusive Man | Rivalry(4436) < [[Argument]]
Cnd 24437 ==> LE2 | Illusive Man | Rivalry(4437) == [[Argument]]
Cnd 24438 ==> LE2 | Illusive Man | Rivalry(4438) > [[Argument]]
Cnd 24439 ==> LE2 | Illusive Man | Romantic Interest(4439) < [[Argument]]
Cnd 24440 ==> LE2 | Illusive Man | Romantic Interest(4440) == [[Argument]]
Cnd 24441 ==> LE2 | Illusive Man | Romantic Interest(4441) > [[Argument]]
Cnd 24442 ==> LE2 | Illusive Man | Sexual Interest(4442) < [[Argument]]
Cnd 24443 ==> LE2 | Illusive Man | Sexual Interest(4443) == [[Argument]]
Cnd 24444 ==> LE2 | Illusive Man | Sexual Interest(4444) > [[Argument]]
Cnd 24530 ==> LE2 | Jack | Friendship(4530) < [[Argument]]
Cnd 24531 ==> LE2 | Jack | Friendship(4531) == [[Argument]]
Cnd 24532 ==> LE2 | Jack | Friendship(4532) > [[Argument]]
Cnd 24533 ==> LE2 | Jack | Loyalty(4533) < [[Argument]]
Cnd 24534 ==> LE2 | Jack | Loyalty(4534) == [[Argument]]
Cnd 24535 ==> LE2 | Jack | Loyalty(4535) > [[Argument]]
Cnd 24536 ==> LE2 | Jack | Rivalry(4536) < [[Argument]]
Cnd 24537 ==> LE2 | Jack | Rivalry(4537) == [[Argument]]
Cnd 24538 ==> LE2 | Jack | Rivalry(4538) > [[Argument]]
Cnd 24539 ==> LE2 | Jack | Romantic Interest(4539) < [[Argument]]
Cnd 24540 ==> LE2 | Jack | Romantic Interest(4540) == [[Argument]]
Cnd 24541 ==> LE2 | Jack | Romantic Interest(4541) > [[Argument]]
Cnd 24542 ==> LE2 | Jack | Sexual Interest(4542) < [[Argument]]
Cnd 24543 ==> LE2 | Jack | Sexual Interest(4543) == [[Argument]]
Cnd 24544 ==> LE2 | Jack | Sexual Interest(4544) > [[Argument]]
Cnd 24630 ==> LE2 | Jacob Taylor | Friendship(4630) < [[Argument]]
Cnd 24631 ==> LE2 | Jacob Taylor | Friendship(4631) == [[Argument]]
Cnd 24632 ==> LE2 | Jacob Taylor | Friendship(4632) > [[Argument]]
Cnd 24633 ==> LE2 | Jacob Taylor | Loyalty(4633) < [[Argument]]
Cnd 24634 ==> LE2 | Jacob Taylor | Loyalty(4634) == [[Argument]]
Cnd 24635 ==> LE2 | Jacob Taylor | Loyalty(4635) > [[Argument]]
Cnd 24636 ==> LE2 | Jacob Taylor | Rivalry(4636) < [[Argument]]
Cnd 24637 ==> LE2 | Jacob Taylor | Rivalry(4637) == [[Argument]]
Cnd 24638 ==> LE2 | Jacob Taylor | Rivalry(4638) > [[Argument]]
Cnd 24639 ==> LE2 | Jacob Taylor | Romantic Interest(4639) < [[Argument]]
Cnd 24640 ==> LE2 | Jacob Taylor | Romantic Interest(4640) == [[Argument]]
Cnd 24641 ==> LE2 | Jacob Taylor | Romantic Interest(4641) > [[Argument]]
Cnd 24642 ==> LE2 | Jacob Taylor | Sexual Interest(4642) < [[Argument]]
Cnd 24643 ==> LE2 | Jacob Taylor | Sexual Interest(4643) == [[Argument]]
Cnd 24644 ==> LE2 | Jacob Taylor | Sexual Interest(4644) > [[Argument]]
Cnd 24730 ==> LE2 | James Vega | Friendship(4730) < [[Argument]]
Cnd 24731 ==> LE2 | James Vega | Friendship(4731) == [[Argument]]
Cnd 24732 ==> LE2 | James Vega | Friendship(4732) > [[Argument]]
Cnd 24733 ==> LE2 | James Vega | Loyalty(4733) < [[Argument]]
Cnd 24734 ==> LE2 | James Vega | Loyalty(4734) == [[Argument]]
Cnd 24735 ==> LE2 | James Vega | Loyalty(4735) > [[Argument]]
Cnd 24736 ==> LE2 | James Vega | Rivalry(4736) < [[Argument]]
Cnd 24737 ==> LE2 | James Vega | Rivalry(4737) == [[Argument]]
Cnd 24738 ==> LE2 | James Vega | Rivalry(4738) > [[Argument]]
Cnd 24739 ==> LE2 | James Vega | Romantic Interest(4739) < [[Argument]]
Cnd 24740 ==> LE2 | James Vega | Romantic Interest(4740) == [[Argument]]
Cnd 24741 ==> LE2 | James Vega | Romantic Interest(4741) > [[Argument]]
Cnd 24742 ==> LE2 | James Vega | Sexual Interest(4742) < [[Argument]]
Cnd 24743 ==> LE2 | James Vega | Sexual Interest(4743) == [[Argument]]
Cnd 24744 ==> LE2 | James Vega | Sexual Interest(4744) > [[Argument]]
Cnd 24830 ==> LE2 | Javik | Friendship(4830) < [[Argument]]
Cnd 24831 ==> LE2 | Javik | Friendship(4831) == [[Argument]]
Cnd 24832 ==> LE2 | Javik | Friendship(4832) > [[Argument]]
Cnd 24833 ==> LE2 | Javik | Loyalty(4833) < [[Argument]]
Cnd 24834 ==> LE2 | Javik | Loyalty(4834) == [[Argument]]
Cnd 24835 ==> LE2 | Javik | Loyalty(4835) > [[Argument]]
Cnd 24836 ==> LE2 | Javik | Rivalry(4836) < [[Argument]]
Cnd 24837 ==> LE2 | Javik | Rivalry(4837) == [[Argument]]
Cnd 24838 ==> LE2 | Javik | Rivalry(4838) > [[Argument]]
Cnd 24839 ==> LE2 | Javik | Romantic Interest(4839) < [[Argument]]
Cnd 24840 ==> LE2 | Javik | Romantic Interest(4840) == [[Argument]]
Cnd 24841 ==> LE2 | Javik | Romantic Interest(4841) > [[Argument]]
Cnd 24842 ==> LE2 | Javik | Sexual Interest(4842) < [[Argument]]
Cnd 24843 ==> LE2 | Javik | Sexual Interest(4843) == [[Argument]]
Cnd 24844 ==> LE2 | Javik | Sexual Interest(4844) > [[Argument]]
Cnd 24930 ==> LE2 | Joker Moreau | Friendship(4930) < [[Argument]]
Cnd 24931 ==> LE2 | Joker Moreau | Friendship(4931) == [[Argument]]
Cnd 24932 ==> LE2 | Joker Moreau | Friendship(4932) > [[Argument]]
Cnd 24933 ==> LE2 | Joker Moreau | Loyalty(4933) < [[Argument]]
Cnd 24934 ==> LE2 | Joker Moreau | Loyalty(4934) == [[Argument]]
Cnd 24935 ==> LE2 | Joker Moreau | Loyalty(4935) > [[Argument]]
Cnd 24936 ==> LE2 | Joker Moreau | Rivalry(4936) < [[Argument]]
Cnd 24937 ==> LE2 | Joker Moreau | Rivalry(4937) == [[Argument]]
Cnd 24938 ==> LE2 | Joker Moreau | Rivalry(4938) > [[Argument]]
Cnd 24939 ==> LE2 | Joker Moreau | Romantic Interest(4939) < [[Argument]]
Cnd 24940 ==> LE2 | Joker Moreau | Romantic Interest(4940) == [[Argument]]
Cnd 24941 ==> LE2 | Joker Moreau | Romantic Interest(4941) > [[Argument]]
Cnd 24942 ==> LE2 | Joker Moreau | Sexual Interest(4942) < [[Argument]]
Cnd 24943 ==> LE2 | Joker Moreau | Sexual Interest(4943) == [[Argument]]
Cnd 24944 ==> LE2 | Joker Moreau | Sexual Interest(4944) > [[Argument]]
Cnd 25030 ==> LE2 | Kaidan Alenko | Friendship(5030) < [[Argument]]
Cnd 25031 ==> LE2 | Kaidan Alenko | Friendship(5031) == [[Argument]]
Cnd 25032 ==> LE2 | Kaidan Alenko | Friendship(5032) > [[Argument]]
Cnd 25033 ==> LE2 | Kaidan Alenko | Loyalty(5033) < [[Argument]]
Cnd 25034 ==> LE2 | Kaidan Alenko | Loyalty(5034) == [[Argument]]
Cnd 25035 ==> LE2 | Kaidan Alenko | Loyalty(5035) > [[Argument]]
Cnd 25036 ==> LE2 | Kaidan Alenko | Rivalry(5036) < [[Argument]]
Cnd 25037 ==> LE2 | Kaidan Alenko | Rivalry(5037) == [[Argument]]
Cnd 25038 ==> LE2 | Kaidan Alenko | Rivalry(5038) > [[Argument]]
Cnd 25039 ==> LE2 | Kaidan Alenko | Romantic Interest(5039) < [[Argument]]
Cnd 25040 ==> LE2 | Kaidan Alenko | Romantic Interest(5040) == [[Argument]]
Cnd 25041 ==> LE2 | Kaidan Alenko | Romantic Interest(5041) > [[Argument]]
Cnd 25042 ==> LE2 | Kaidan Alenko | Sexual Interest(5042) < [[Argument]]
Cnd 25043 ==> LE2 | Kaidan Alenko | Sexual Interest(5043) == [[Argument]]
Cnd 25044 ==> LE2 | Kaidan Alenko | Sexual Interest(5044) > [[Argument]]
Cnd 25130 ==> LE2 | Karin Chakwas | Friendship(5130) < [[Argument]]
Cnd 25131 ==> LE2 | Karin Chakwas | Friendship(5131) == [[Argument]]
Cnd 25132 ==> LE2 | Karin Chakwas | Friendship(5132) > [[Argument]]
Cnd 25133 ==> LE2 | Karin Chakwas | Loyalty(5133) < [[Argument]]
Cnd 25134 ==> LE2 | Karin Chakwas | Loyalty(5134) == [[Argument]]
Cnd 25135 ==> LE2 | Karin Chakwas | Loyalty(5135) > [[Argument]]
Cnd 25136 ==> LE2 | Karin Chakwas | Rivalry(5136) < [[Argument]]
Cnd 25137 ==> LE2 | Karin Chakwas | Rivalry(5137) == [[Argument]]
Cnd 25138 ==> LE2 | Karin Chakwas | Rivalry(5138) > [[Argument]]
Cnd 25139 ==> LE2 | Karin Chakwas | Romantic Interest(5139) < [[Argument]]
Cnd 25140 ==> LE2 | Karin Chakwas | Romantic Interest(5140) == [[Argument]]
Cnd 25141 ==> LE2 | Karin Chakwas | Romantic Interest(5141) > [[Argument]]
Cnd 25142 ==> LE2 | Karin Chakwas | Sexual Interest(5142) < [[Argument]]
Cnd 25143 ==> LE2 | Karin Chakwas | Sexual Interest(5143) == [[Argument]]
